unique_id,MetaARIMA,AutoARIMA,SeasonalNaive,TimesFM
T000099,0.5017103240284857,0.5017103240284857,0.5810643564356435,0.5189722042272586
T000100,0.48976000453086344,1.3395924410560782,0.4100159616919393,0.616470209047115
T000101,0.38872744455881836,0.401761717837578,0.7648264223722275,0.490588696736379
T000102,0.764640506059894,0.7896441526282139,1.4252948885976406,0.8086100207087565
T000103,1.493716540199742,1.5390452360499673,1.2701612903225805,1.5001641505624541
T000104,0.4886124561258809,1.2985572807020422,0.45341786108048515,0.8341322859960723
T000105,0.4199951650813628,0.4199951650813628,0.7467177242888402,0.5597942861477707
T000106,0.8579008251475109,0.9835109659864942,0.814424635332253,0.7269403442184967
T000107,0.6993872834113182,0.6709698686261297,0.8757062146892655,0.6319172832251941
T000108,0.8165040029408306,0.7359728324614367,0.8882636655948553,0.822872757988344
T000109,0.6996050979677602,0.6854056462680687,1.0041841004184102,0.41686323477134546
T000110,0.8336407157013985,0.8319112627986348,1.075085324232082,0.8033751191539569
T000111,0.7013235645076105,0.6725255399798582,1.0260586319218241,0.5860831493663476
T000112,0.6885284608830801,0.9468578144169614,0.8139534883720931,0.6864878505567379
T000113,0.6938949334644431,0.7113954488991094,0.6322505800464038,0.6999646250996955
T000114,0.5909998000734986,1.6438263081625708,0.9505907626208377,0.5488760975838732
T000115,0.8414659156615035,0.8639182056429614,1.0174825174825175,0.8062893868826486
T000116,0.5914918671287785,0.8197789501571939,0.9687500000000001,0.47728234863281255
T000117,0.6615134064237838,0.7842400181739714,0.6170336037079953,0.7286662396798957
T000118,0.7288372037377356,0.8315583679621739,1.215490797546012,0.7150131506422546
T000119,0.5652794955131626,0.5500210652092355,0.8891277641277641,0.5943642656106035
T000120,0.7441402071352659,0.7441402071352659,0.5491329479768787,0.7036362840950146
T000121,0.6560282390004677,0.6594235647278517,0.842094196804037,0.6628212379346483
T000122,0.725880904309446,0.6719100074645548,0.8142340168878166,0.5291931373218863
T000123,0.4255259060861284,0.4407994251266074,0.6835443037974683,0.4318110444274129
T000124,0.37756276329610955,0.38262707221979775,0.7610957004160886,0.45852919325914526
T000125,0.5017609581946916,0.5092170028147609,0.731163251817581,0.4522007389408977
T000126,0.3476071782918465,0.35248837005530403,0.9656398104265401,0.34173531916469196
T000127,0.5734054167024479,0.6418215327249224,0.8968347010550995,0.48500373366289934
T000128,0.23743176892060686,0.23743176892060686,0.5995792426367462,0.42035332421601074
T000129,0.5664566588034463,0.5244053911652612,0.7354041916167666,0.47439545956914303
T000130,0.48304982193223706,0.48304982193223706,0.6754032258064516,0.4593700696063298
T000131,0.6220668435674145,0.6220668435674145,1.1183092608326253,0.6002611080872982
T000132,0.8996728799475355,0.8996728799475355,1.3907068062827226,0.9261361566513622
T000133,0.6284335225200585,0.6444365598458694,1.0645161290322582,0.5900206731980847
