unique_id,MetaARIMA(0.05),MetaARIMA(0.12),MetaARIMA(0.2),MetaARIMA(0.27),MetaARIMA(0.35),MetaARIMA(0.42),MetaARIMA(0.5),MetaARIMA(0.58),MetaARIMA(0.65),MetaARIMA(0.72),MetaARIMA(0.8),MetaARIMA(0.88),MetaARIMA(0.95),AutoARIMA
T000064,1.5431105983487652,1.4069705031587103,1.20350833233246,1.20350833233246,1.4069705031587103,1.20350833233246,1.039639314491353,0.9819288709672902,0.9601426169182168,0.9819288709672902,0.9819288709672902,1.039639314491353,0.8557852333949025,0.8895020090524371
T000065,1.4805369762393181,0.8515530895494334,1.5285107240214004,1.5501457996688572,1.0512417729220622,1.0512417729220622,1.0446599476353344,0.8515530895494334,1.0028387880969516,1.0028387880969516,0.8515530895494334,0.8515530895494334,1.0535194053068018,0.8046008149259581
T000066,1.0498722895744785,1.29892905669877,1.8474085156100855,1.8700844916865156,1.29892905669877,1.29892905669877,1.118974301701513,1.4403977391773521,1.0902117937117182,1.4403977391773521,1.4109810120440063,1.118974301701513,1.1568981584403768,1.481070208554814
T000067,1.1389755924137397,1.7975255954117244,1.8907910083637023,1.5373294837051248,1.5373294837051248,1.7975255954117244,0.8881194308032709,0.6882454070720873,0.6882454070720873,0.6882454070720873,0.6882454070720873,0.6882454070720873,1.0144897564701358,1.701201518691034
T000068,2.367147931668939,3.341336153218788,2.787365598133293,1.5246671608577491,3.211356955537645,2.8762314107504836,2.07097449407281,1.7507537616563522,1.7507537616563522,1.7507537616563522,2.367147931668939,1.3741026572730606,2.178465740401787,3.0373041595799926
T000069,2.6259169528048987,2.6259169528048987,2.327393348627317,2.327393348627317,2.38337512321281,2.391202011681329,2.548897737371487,2.38429791808335,2.388246802251208,2.080213185133215,2.123653409225405,2.3175796797397097,2.826638488668346,1.9093769819508624
T000070,0.5939895585497688,0.48325850130087045,0.48325850130087045,0.48325850130087045,0.5774489912587618,0.5774489912587618,0.5774489912587618,0.544504099195914,0.544504099195914,0.544504099195914,0.544504099195914,0.5241976676952878,0.5985325726678056,0.5607080690864477
T000071,1.9946939309662084,1.8202524913352378,2.1288659417729825,1.8743548311610978,1.721110143892117,1.8157087483935395,1.8157087483935395,1.8157087483935395,1.721110143892117,1.8157087483935395,1.8157087483935395,1.8157087483935395,1.767416211899625,1.8157087483935395
T000072,1.227978149391788,0.8139037782357782,0.8139037782357782,0.8139037782357782,1.0682283199219575,1.0682283199219575,1.0682283199219575,0.7579004887005809,0.7579004887005809,0.7579004887005809,0.7579004887005809,0.6939815465521038,1.227978149391788,0.6939815465521038
T000073,0.8969366645766401,0.8739849666206739,0.8739849666206739,0.8739849666206739,1.0145865316170768,1.17196267900892,1.17196267900892,0.7981720455830804,0.7981720455830804,0.7981720455830804,0.5864134312072852,1.0728094027253097,0.5864134312072852,0.6652902689703307
T000074,1.1574021678197386,2.158764214155961,1.4609785093175942,1.4609785093175942,1.0912562400343988,1.178112768705041,1.0672085148373855,1.0672085148373855,1.0285663190249104,1.0285663190249104,1.6526824587712838,1.6526824587712838,1.034697285153048,1.3758605911465625
T000075,3.5195297805972214,3.957844228369901,3.5035311280369843,3.5376989706661095,3.957844228369901,3.957844228369901,4.021000123604793,3.6349761756554564,4.021000123604793,4.098860718735389,4.098860718735389,3.7195952990443524,3.957844228369901,3.823958207925825
T000076,0.4471024173994222,0.49239292657100137,0.5792050634677494,0.5792050634677494,0.45366260501319056,0.5792050634677494,0.5006149133413259,0.5006149133413259,0.3799800228840512,0.3799800228840512,0.5797416130960503,0.49861281508204935,0.508943982609105,0.3995913460188555
T000077,0.7943485461777283,0.6749519650196124,0.6749519650196124,0.6749519650196124,0.6749519650196124,0.6749519650196124,0.6936362838541346,0.6495976103810719,0.8716148288278014,1.1537740351389276,0.6749519650196124,0.6749519650196124,0.9050310627851517,1.1537740351389276
T000078,1.1752848013816828,1.1752848013816828,1.2008813149189652,1.2008813149189652,1.2678490139451823,1.2678490139451823,1.036810366144936,1.036810366144936,1.05833254828537,1.036810366144936,2.81088456004743,1.1996140558400894,1.1996140558400894,1.3125609853595803
T000079,0.5866947468206767,0.7227019534083889,0.6638529273175359,0.6308630373203622,0.6638529273175359,0.6369517191044143,0.6275984186531167,0.7300393710682702,0.7223085146107187,0.6639432921008871,0.6201293384875824,0.6596786164031178,0.6093024826361642,0.703903613735243
T000080,0.4725082602900127,0.4153535569989344,0.4153535569989344,0.4153535569989344,0.4153535569989344,0.4153535569989344,0.43306882165365523,0.4153535569989344,0.9234967655114492,0.9234967655114492,0.4153535569989344,0.4153535569989344,0.4833150821443458,0.7737427233055605
T000081,1.8439391954972266,1.5136117464506817,1.5136117464506817,1.5136117464506817,1.5829333483848111,1.5829333483848111,1.5829333483848111,1.5829333483848111,2.316761356977834,1.5829333483848111,1.5136117464506817,1.5136117464506817,1.920929474079661,2.1240120583673776
T000082,0.6518323796595308,0.6760945013874019,0.8028151703203306,0.8038011974796171,0.8028151703203306,0.8038011974796171,0.6531687667532401,0.6652415491397804,0.6608200555770878,0.3731875118770854,0.6652415491397804,0.8193333086981953,0.8972039982000527,0.47035526001813005
