unique_id,MetaARIMA,AutoARIMA,AutoETS,AutoTheta,AR,MA,ARMA,ARIMA,SeasonalNaive
T000366,1.133347322651006,1.2762440283113732,1.463778283109246,1.0577166232954562,4.585789593035502,4.383576319517864,4.37081728015085,1.6316091471556393,1.9155941466854725
T000367,1.1288930396138497,1.478398147511008,1.1338416962809201,1.8156398075807254,3.894369044293785,4.768763172929146,2.158928864484128,1.3913630739121083,1.5624580255204834
T000368,0.3001587885496061,0.9854313582078111,0.6946052426138364,0.5885142658386177,1.031343752941899,0.9606566267973344,1.1032290972984702,1.0917964532357978,1.1771463119709793
T000369,0.81416209456737,0.7305364626482833,0.5548167589637757,0.47210824366651766,8.163780743497053,7.486785078303133,7.457809959721779,0.6638885284574257,0.7454944547134935
T000370,2.123205510736118,2.123205510736118,1.556076631549625,1.6890550713339239,11.201336338059837,11.667700755179089,10.855814694065291,2.4048373061430843,2.369884936120169
T000371,1.5752959538438727,2.26725881592144,1.6597541912851355,1.4386425138370882,8.870521634330903,9.455746565833637,8.249180291726612,1.6871687668779192,1.6056776556776557
T000372,1.591325739969775,1.627332388081643,1.590955447458061,1.4970722108970227,4.40333048787549,4.876793494692763,2.5669931511310735,1.7831962620912603,2.3285475360407046
T000373,1.1342636086191462,1.5996375719808997,1.1528671227469904,1.1845676389987618,3.104631333736841,4.88000572035906,1.8978534338384212,1.6738941382568526,1.5975868725868727
T000374,1.3935534190362644,1.021115038096348,0.7748108914739696,1.8886510658038727,10.84460234248442,12.136264855643491,10.689557226484787,1.902918186793407,1.7720683774565535
T000375,3.2306199054823193,2.239197971102235,5.653896481441384,4.861383878436563,12.293973269750637,11.926163095349308,11.31486900421229,3.356196601670972,3.619757923305901
T000376,2.5990462489773902,2.7043362596870355,3.129600361668758,3.047053177196732,9.353965768584041,10.127782455561038,9.609529187762053,3.0169713086912644,2.7740731204943354
T000377,0.8057973936300001,0.8057973936300001,0.8298125314644758,1.1994888286019787,1.4536760543105645,1.443161200922459,1.4163898531769514,0.6917562213790845,0.9483595846871027
T000378,0.9045453781282932,0.8378583492749774,0.8873811946627335,1.087904179041714,2.6819155075445127,2.6900755084522023,1.5125283604226427,1.316009487725795,1.1434972048668202
T000379,2.2312291623935194,1.4615520711799783,1.872294251640687,3.4861911022986374,9.303972043260151,9.535452661860699,5.870518166610017,2.580590395351333,2.4233570041503256
T000380,0.7859543538297324,0.8827647546098207,1.2047111194464069,1.5702007747244198,10.436721266487528,9.38303887483674,9.175418159792178,1.0990654403144482,0.9717188189710138
T000381,1.4489707792493558,1.4512202681706357,1.870407258273238,1.4238521251270921,9.924285929947386,9.119482449486574,8.766832291008617,1.2981831360653298,1.5920383875721174
T000382,1.0918391736740087,1.1029928527340254,1.1777081453461478,1.0094812476712416,3.541711242602974,3.7987336511130994,1.6408583422354324,1.5032073988973518,1.3832417582417582
T000383,1.8180197221696976,1.7658578177311797,1.5313209813808883,2.14866097027948,6.576214208196583,8.143955719697363,3.9154038496293113,2.5429111085544345,2.0305196629213484
